Id,TotalSteps,TotalDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,WeightKg,WeightPounds,BMI,Weekday,NotWorn,TotalActiveMinutes,SleepHours,ActivityLevel
1503960366,13162,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,2016-04-12,1.0,327.0,346.0,,,,Tuesday,False,366,5.45,Very Active
1503960366,10735,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,2016-04-13,2.0,384.0,407.0,,,,Wednesday,False,257,6.4,Very Active
1503960366,10460,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,2016-04-14,0.0,,,,,,Thursday,False,222,,Very Active
1503960366,9762,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,2016-04-15,1.0,412.0,442.0,,,,Friday,False,272,6.87,Fairly Active
1503960366,12669,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,2016-04-16,2.0,340.0,367.0,,,,Saturday,False,267,5.67,Very Active
1503960366,9705,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,2016-04-17,1.0,700.0,712.0,,,,Sunday,False,222,11.67,Fairly Active
1503960366,13019,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,2016-04-18,0.0,,,,,,Monday,False,291,,Very Active
1503960366,15506,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,2016-04-19,1.0,304.0,320.0,,,,Tuesday,False,345,5.07,Very Active
1503960366,10544,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,2016-04-20,1.0,360.0,377.0,,,,Wednesday,False,245,6.0,Very Active
1503960366,9819,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,2016-04-21,1.0,325.0,364.0,,,,Thursday,False,238,5.42,Fairly Active
1503960366,12764,8.13000011444092,0.0,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,1827,2016-04-22,0.0,,,,,,Friday,False,223,,Very Active
1503960366,14371,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,2016-04-23,1.0,361.0,384.0,,,,Saturday,False,324,6.02,Very Active
1503960366,10039,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,2016-04-24,1.0,430.0,449.0,,,,Sunday,False,282,7.17,Very Active
1503960366,15355,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,2016-04-25,1.0,277.0,323.0,,,,Monday,False,303,4.62,Very Active
1503960366,13755,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,2016-04-26,1.0,245.0,274.0,,,,Tuesday,False,333,4.08,Very Active
1503960366,18134,12.210000038147,0.0,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,2159,2016-04-27,0.0,,,,,,Wednesday,False,332,,Very Active
1503960366,13154,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,2016-04-28,1.0,366.0,393.0,,,,Thursday,False,265,6.1,Very Active
1503960366,11181,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,2016-04-29,1.0,341.0,354.0,,,,Friday,False,271,5.68,Very Active
1503960366,14673,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,2016-04-30,1.0,404.0,425.0,,,,Saturday,False,303,6.73,Very Active
1503960366,10602,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,2016-05-01,1.0,369.0,396.0,,,,Sunday,False,314,6.15,Very Active
1503960366,14727,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,2016-05-02,1.0,277.0,309.0,52.5999984741211,115.963146545323,22.6499996185303,Monday,False,333,4.62,Very Active
1503960366,15103,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,2016-05-03,1.0,273.0,296.0,52.5999984741211,115.963146545323,22.6499996185303,Tuesday,False,328,4.55,Very Active
1503960366,11100,7.15000009536743,0.0,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,1819,2016-05-04,0.0,,,,,,Wednesday,False,261,,Very Active
1503960366,14070,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,2016-05-05,1.0,247.0,264.0,,,,Thursday,False,319,4.12,Very Active
